Accession number	Publication number
BD091887	WO 2000073423-A/7
BD091888	WO 2000073423-A/8
BD091889	WO 2000073423-A/9
BD091890	WO 2000073423-A/10
BD091891	WO 2000073423-A/11
BD091892	WO 2000075315-A/1
BD091893	WO 2000075315-A/2
BD091894	WO 2000075315-A/3
BD091895	WO 2000075315-A/4
BD091896	WO 2000075315-A/5
BD091897	WO 2000075315-A/6
BD091898	WO 2000075315-A/7
BD091899	WO 2001094589-A/1
BD091900	WO 2001094589-A/2
BD091901	WO 2001094589-A/3
BD091902	WO 2001094589-A/4
BD091903	WO 2001094589-A/5
BD091904	WO 2001094589-A/6
BD091905	WO 2001094589-A/7
BD091906	WO 2001094589-A/8
BD091907	WO 2001094589-A/9
BD091908	WO 2001094589-A/10
BD091909	WO 2001094589-A/11
BD091910	WO 2001094589-A/12
BD091911	WO 2001094589-A/13
BD091912	WO 2001094589-A/14
BD091913	WO 2001094589-A/15
BD091914	WO 2001094589-A/16
BD091915	WO 2001094589-A/17
BD091916	WO 2001094589-A/18
BD091917	WO 2001094589-A/19
BD091918	WO 2001094589-A/20
BD091919	WO 2001094589-A/21
BD091920	WO 2001094589-A/22
BD091921	WO 2001094589-A/23
BD091922	WO 2001094589-A/24
BD091923	WO 2001094589-A/25
BD091924	WO 2001094589-A/26
BD091925	WO 2001094589-A/27
BD091926	WO 2001094589-A/28
BD091927	WO 2001094589-A/29
BD091928	WO 2001094589-A/30
BD091929	WO 2001094589-A/31
BD091930	WO 2001094589-A/32
BD091931	WO 2001094589-A/33
BD091932	WO 2001094589-A/34
BD091933	WO 2001094589-A/35
BD091934	WO 2001094589-A/36
BD091935	WO 2001094589-A/37
BD091936	WO 2001094589-A/38
BD091937	WO 2001094589-A/39
BD091938	WO 2001094589-A/40
BD091939	WO 2001094589-A/41
BD091940	WO 2001094589-A/42
BD091941	WO 2001094589-A/43
BD091942	WO 2001094589-A/44
BD091943	WO 2001094589-A/45
BD091944	WO 2001094589-A/46
BD091945	WO 2001094589-A/47
BD091946	WO 2001094589-A/48
BD091947	WO 2001094589-A/49
BD091948	WO 2001094589-A/50
BD091949	WO 2001094589-A/51
BD091950	WO 2001094589-A/52
BD091951	WO 2001094589-A/53
BD091952	WO 2001094589-A/54
BD091953	WO 2001094589-A/55
BD091954	WO 2001094589-A/56
BD091955	WO 2001094589-A/57
BD091956	WO 2001094589-A/58
BD091957	WO 2001094589-A/59
BD091958	WO 2001094589-A/60
BD091959	WO 2001094589-A/61
BD091960	WO 2001094589-A/62
BD091961	WO 2001094589-A/63
BD091962	WO 2001094589-A/64
BD091963	WO 2001094589-A/65
BD091964	WO 2001094589-A/66
BD091965	WO 2001094589-A/67
BD091966	WO 2001094589-A/68
BD091967	WO 2001094589-A/69
BD091968	WO 2001094589-A/70
BD091969	WO 2001094589-A/71
BD091970	WO 2001094589-A/72
BD091971	WO 2001094589-A/73
BD091972	WO 2001094589-A/74
BD091973	WO 2001094589-A/75
BD091974	WO 2001094589-A/76
BD091975	WO 2001094589-A/77
BD091976	WO 2001094589-A/78
BD091977	WO 2001094589-A/79
BD091978	WO 2001094589-A/80
BD091979	WO 2001094589-A/81
BD091980	WO 2001094589-A/82
BD091981	WO 2001094589-A/83
BD091982	WO 2001094589-A/84
BD091983	WO 2001094589-A/85
BD091984	WO 2001094589-A/86
BD091985	WO 2001094589-A/87
BD091986	WO 2001094589-A/88
BD091987	WO 2001094589-A/89
BD091988	WO 2001094589-A/90
BD091989	WO 2001094589-A/91
BD091990	WO 2001094589-A/92
BD091991	WO 2001094589-A/93
BD091992	WO 2001094589-A/94
BD091993	WO 2001094589-A/95
BD091994	WO 2000075371-A/1
BD091995	WO 2000075371-A/2
BD091996	WO 2000075371-A/3
BD091997	WO 2000075371-A/4
BD091998	WO 2000075371-A/5
BD091999	WO 2000075371-A/6
BD092000	WO 2000075371-A/7
BD092001	WO 2000075371-A/8
BD092002	WO 2000075371-A/9
BD092003	WO 2000075371-A/10
BD092004	WO 2000077172-A/1
BD092005	WO 2000077172-A/2
BD092006	WO 2000077172-A/3
BD092007	WO 2000077172-A/4
BD092008	WO 2000077172-A/5
BD092009	WO 2000077172-A/6
BD092010	WO 2000077172-A/7
BD092011	WO 2000077172-A/8
BD092012	WO 2000077172-A/9
BD092013	WO 2000077172-A/10
BD092014	WO 2000077172-A/11
BD092015	WO 2000077192-A/1
BD092016	WO 2000077192-A/2
BD011855	WO 2000077211-A/1
BD011856	WO 2000077211-A/2
BD092017	WO 2001060151-A/1
BD092018	WO 2001060151-A/2
BD092019	WO 2001002562-A/1
BD011857	WO 2000078926-A/1
BD092020	WO 2000078987-A/1
BD092021	WO 2000078987-A/2
BD092022	WO 2000078987-A/3
BD092023	WO 2000078987-A/4
BD092024	WO 2000078987-A/5
BD092025	WO 2000078987-A/6
BD092026	WO 2000078987-A/7
BD092027	WO 2000078987-A/8
BD092028	WO 2000078987-A/9
BD092029	WO 2000078987-A/10
BD092030	WO 2000078987-A/11
BD092031	WO 2000078987-A/12
BD092032	WO 2000078987-A/13
BD092033	WO 2000078987-A/14
BD092034	WO 2000078987-A/15
BD092035	WO 2000078987-A/16
BD092036	WO 2000078987-A/17
BD092037	WO 2000078987-A/18
BD092038	WO 2000078987-A/19
BD092039	WO 2000078987-A/20
BD092040	WO 2000078987-A/21
BD092041	WO 2000078987-A/22
BD092042	WO 2000078987-A/23
BD092043	WO 2000078987-A/24
BD092044	WO 2000078987-A/25
BD092045	WO 2000078987-A/26
BD092046	WO 2000078987-A/27
BD092047	WO 2000078987-A/28
BD092048	WO 2000078987-A/29
BD092049	WO 2000078987-A/30
BD092050	WO 2000078987-A/31
BD092051	WO 2000078987-A/32
BD092052	WO 2000078987-A/33
BD092053	WO 2000078987-A/34
BD092054	WO 2000078987-A/35
BD092055	WO 2000078987-A/36
BD092056	WO 2000078987-A/37
BD092057	WO 2000078987-A/38
